Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_us_desti_principal,Concepte,Nombre
2023,1,Ciutat Vella,1,el Raval,4,Aparcaments,Valor_€,7212761.69
2023,1,Ciutat Vella,1,el Raval,4,Oficines,Valor_€,5831309.24
2023,1,Ciutat Vella,1,el Raval,4,Esportiu,Valor_€,2939588.32
2023,1,Ciutat Vella,1,el Raval,4,Comerç,Valor_€,13017919
2023,1,Ciutat Vella,1,el Raval,4,Espectacles,Valor_€,4538062.83
2023,1,Ciutat Vella,1,el Raval,4,Administració Pública,Valor_€,6535214.39
2023,1,Ciutat Vella,1,el Raval,4,Turisme i hostaleria,Valor_€,22715024.3
2023,1,Ciutat Vella,1,el Raval,4,Habitatge,Valor_€,97336667.45
2023,1,Ciutat Vella,1,el Raval,4,Magatzem,Valor_€,6092522.31
2023,1,Ciutat Vella,1,el Raval,4,Ensenyament i cultura,Valor_€,18647451.15
2023,1,Ciutat Vella,1,el Raval,4,Religiós,Valor_€,1503112.8
2023,1,Ciutat Vella,1,el Raval,5,Administració Pública,Superfície_m2,3208
2023,1,Ciutat Vella,1,el Raval,5,Espectacles,Superfície_m2,33993
2023,1,Ciutat Vella,1,el Raval,5,Aparcaments,Superfície_m2,9341
2023,1,Ciutat Vella,1,el Raval,5,Altres,Superfície_m2,113
2023,1,Ciutat Vella,1,el Raval,5,Turisme i hostaleria,Superfície_m2,29256
2023,1,Ciutat Vella,1,el Raval,5,Magatzem,Superfície_m2,10431
2023,1,Ciutat Vella,1,el Raval,5,Habitatge,Superfície_m2,100300
2023,1,Ciutat Vella,1,el Raval,5,Oficines,Superfície_m2,1394
2023,1,Ciutat Vella,1,el Raval,5,Comerç,Superfície_m2,21191
2023,1,Ciutat Vella,1,el Raval,5,Administració Pública,Nombre,5
2023,1,Ciutat Vella,1,el Raval,5,Espectacles,Nombre,30
2023,1,Ciutat Vella,1,el Raval,5,Aparcaments,Nombre,264
2023,1,Ciutat Vella,1,el Raval,5,Altres,Nombre,1
2023,1,Ciutat Vella,1,el Raval,5,Turisme i hostaleria,Nombre,151
2023,1,Ciutat Vella,1,el Raval,5,Magatzem,Nombre,79
2023,1,Ciutat Vella,1,el Raval,5,Habitatge,Nombre,1290
2023,1,Ciutat Vella,1,el Raval,5,Oficines,Nombre,16
2023,1,Ciutat Vella,1,el Raval,5,Comerç,Nombre,190
2023,1,Ciutat Vella,1,el Raval,5,Administració Pública,Valor_€,3488764.16
2023,1,Ciutat Vella,1,el Raval,5,Espectacles,Valor_€,66074469.72
2023,1,Ciutat Vella,1,el Raval,5,Aparcaments,Valor_€,4067048.56
2023,1,Ciutat Vella,1,el Raval,5,Altres,Valor_€,4811.65
2023,1,Ciutat Vella,1,el Raval,5,Turisme i hostaleria,Valor_€,41430641.21
2023,1,Ciutat Vella,1,el Raval,5,Magatzem,Valor_€,7929414.36
2023,1,Ciutat Vella,1,el Raval,5,Habitatge,Valor_€,100713297.34
2023,1,Ciutat Vella,1,el Raval,5,Oficines,Valor_€,1283606.09
2023,1,Ciutat Vella,1,el Raval,5,Comerç,Valor_€,25646041.63
2023,1,Ciutat Vella,1,el Raval,6,Sanitat,Superfície_m2,1519
2023,1,Ciutat Vella,1,el Raval,6,Comerç,Superfície_m2,7278
2023,1,Ciutat Vella,1,el Raval,6,Indústria,Superfície_m2,120
2023,1,Ciutat Vella,1,el Raval,6,Magatzem,Superfície_m2,3098
2023,1,Ciutat Vella,1,el Raval,6,Turisme i hostaleria,Superfície_m2,21116
2023,1,Ciutat Vella,1,el Raval,6,Oficines,Superfície_m2,318
2023,1,Ciutat Vella,1,el Raval,6,Habitatge,Superfície_m2,71313
2023,1,Ciutat Vella,1,el Raval,6,Religiós,Superfície_m2,7463
2023,1,Ciutat Vella,1,el Raval,6,Aparcaments,Superfície_m2,4345
2023,1,Ciutat Vella,1,el Raval,6,Espectacles,Superfície_m2,2176
2023,1,Ciutat Vella,1,el Raval,6,Sanitat,Nombre,6
2023,1,Ciutat Vella,1,el Raval,6,Comerç,Nombre,82
2023,1,Ciutat Vella,1,el Raval,6,Indústria,Nombre,2
2023,1,Ciutat Vella,1,el Raval,6,Magatzem,Nombre,35
2023,1,Ciutat Vella,1,el Raval,6,Turisme i hostaleria,Nombre,119
2023,1,Ciutat Vella,1,el Raval,6,Oficines,Nombre,5
2023,1,Ciutat Vella,1,el Raval,6,Habitatge,Nombre,917
2023,1,Ciutat Vella,1,el Raval,6,Religiós,Nombre,17
2023,1,Ciutat Vella,1,el Raval,6,Aparcaments,Nombre,192
